,Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device
2387,17.0,1.0,11.0,2,1,2.0,4.0,2,3.0,2,4.0,0.0,14.0,0.0,3.0,132.0,0
2388,26.0,1.0,8.0,1,1,2.0,1.0,4,4.0,2,5.0,0.0,12.0,2.0,8.0,266.0,1
2390,13.0,1.0,8.0,1,1,3.0,3.0,2,3.0,1,3.0,0.0,14.0,1.0,2.0,123.0,1
2391,17.0,1.0,26.0,2,1,2.0,3.0,2,4.0,2,2.0,0.0,13.0,1.0,3.0,134.0,1
2392,99.0,3.0,13.0,1,1,2.0,3.0,3,5.0,1,1.0,0.0,14.0,1.0,3.0,144.0,0
2393,7.0,3.0,9.0,4,1,2.0,5.0,3,5.0,2,4.0,0.0,18.0,2.0,12.0,148.0,1
2394,3.0,3.0,22.0,2,1,3.0,3.0,3,3.0,1,9.0,0.0,15.0,1.0,2.0,153.0,1
2396,17.0,3.0,7.0,3,0,3.0,3.0,3,3.0,1,8.0,0.0,12.0,0.0,0.0,148.0,0
2397,3.0,1.0,13.0,0,1,3.0,3.0,2,3.0,1,2.0,0.0,13.0,0.0,0.0,113.0,0
2398,30.0,1.0,7.0,2,1,3.0,1.0,3,3.0,1,1.0,0.0,24.0,1.0,8.0,149.0,1
2399,22.0,1.0,13.0,2,1,2.0,3.0,0,4.0,1,4.0,0.0,14.0,0.0,7.0,205.0,1
2400,7.0,1.0,21.0,1,1,3.0,3.0,4,5.0,1,8.0,0.0,14.0,2.0,9.0,270.0,0
2403,0.0,3.0,30.0,1,0,2.0,4.0,3,4.0,2,1.0,1.0,23.0,4.0,10.0,146.0,1
2405,0.0,1.0,15.0,1,1,2.0,3.0,2,5.0,2,3.0,1.0,11.0,0.0,0.0,132.0,0
2406,0.0,3.0,19.0,2,0,3.0,3.0,2,4.0,1,2.0,0.0,13.0,0.0,0.0,120.0,0
2407,99.0,1.0,8.0,1,1,2.0,3.0,0,3.0,2,6.0,1.0,18.0,2.0,2.0,202.0,0
2408,2.0,3.0,25.0,2,1,3.0,4.0,3,3.0,1,2.0,0.0,14.0,1.0,4.0,186.0,1
2409,3.0,2.0,7.0,2,1,2.0,3.0,2,3.0,1,1.0,0.0,21.0,0.0,3.0,121.0,1
2413,0.0,1.0,8.0,1,1,2.0,4.0,2,5.0,2,8.0,0.0,11.0,1.0,0.0,126.0,0
2414,1.0,1.0,7.0,2,1,3.0,4.0,2,3.0,1,2.0,0.0,14.0,0.0,0.0,116.0,1
2415,1.0,3.0,13.0,2,1,2.0,3.0,3,5.0,2,1.0,0.0,14.0,1.0,3.0,149.0,0
2416,22.0,1.0,9.0,1,0,2.0,4.0,3,5.0,1,5.0,0.0,25.0,0.0,2.0,148.0,1
2417,2.0,1.0,8.0,2,0,3.0,3.0,2,4.0,1,1.0,0.0,13.0,1.0,2.0,132.0,0
2418,1.0,1.0,35.0,2,1,3.0,5.0,3,4.0,1,2.0,0.0,14.0,0.0,7.0,165.0,1
2419,6.0,1.0,14.0,2,1,3.0,3.0,3,3.0,2,3.0,1.0,17.0,1.0,0.0,164.0,1
2420,5.0,1.0,16.0,1,1,3.0,3.0,0,1.0,2,3.0,0.0,25.0,0.0,0.0,212.0,1
2421,27.0,1.0,17.0,1,0,2.0,3.0,4,1.0,1,4.0,0.0,20.0,0.0,12.0,1967.0,0
2422,0.0,1.0,7.0,0,1,3.0,4.0,2,5.0,2,7.0,0.0,13.0,1.0,7.0,124.0,1
2423,17.0,1.0,34.0,2,1,2.0,3.0,4,5.0,1,4.0,0.0,13.0,11.0,17.0,263.0,1
2424,12.0,1.0,12.0,2,0,2.0,3.0,0,4.0,2,5.0,0.0,18.0,2.0,2.0,184.0,1
2425,19.0,3.0,9.0,2,0,2.0,3.0,4,4.0,1,9.0,0.0,12.0,4.0,1.0,266.0,1
2426,8.0,1.0,22.0,2,0,3.0,4.0,0,4.0,2,2.0,0.0,19.0,3.0,3.0,186.0,1
2427,0.0,1.0,26.0,2,1,3.0,3.0,3,3.0,2,1.0,0.0,14.0,1.0,2.0,123.0,1
2431,23.0,1.0,28.0,1,1,2.0,5.0,4,1.0,2,2.0,1.0,13.0,1.0,9.0,244.0,0
2432,7.0,3.0,13.0,0,1,2.0,3.0,2,3.0,1,1.0,1.0,25.0,3.0,7.0,123.0,1
2433,15.0,1.0,8.0,1,1,3.0,4.0,2,4.0,1,5.0,0.0,14.0,0.0,0.0,148.0,1
2434,10.0,1.0,19.0,1,1,2.0,3.0,3,1.0,1,2.0,0.0,17.0,2.0,7.0,143.0,1
2435,2.0,1.0,14.0,4,0,2.0,5.0,3,5.0,1,4.0,0.0,13.0,1.0,7.0,197.0,1
2436,6.0,1.0,31.0,2,1,2.0,4.0,3,4.0,2,2.0,0.0,13.0,1.0,2.0,143.0,1
2437,18.0,1.0,34.0,0,1,3.0,3.0,2,1.0,1,5.0,0.0,20.0,1.0,3.0,121.0,1
2440,6.0,1.0,34.0,2,1,3.0,3.0,3,3.0,1,2.0,1.0,12.0,4.0,7.0,152.0,1
2441,13.0,2.0,12.0,1,1,2.0,3.0,4,1.0,2,2.0,1.0,21.0,3.0,7.0,264.0,1
2442,0.0,1.0,27.0,0,1,2.0,4.0,2,5.0,1,1.0,0.0,14.0,0.0,0.0,123.0,1
2443,13.0,1.0,14.0,2,1,3.0,3.0,3,1.0,1,4.0,1.0,18.0,1.0,2.0,141.0,0
2444,18.0,1.0,7.0,0,1,3.0,3.0,0,4.0,1,2.0,0.0,12.0,3.0,7.0,174.0,1
2446,5.0,1.0,11.0,2,0,3.0,4.0,3,4.0,1,4.0,0.0,12.0,1.0,5.0,159.0,1
2447,9.0,3.0,8.0,2,1,3.0,3.0,2,1.0,2,4.0,1.0,21.0,1.0,2.0,126.0,1
2448,21.0,3.0,22.0,2,0,3.0,3.0,3,3.0,1,9.0,0.0,14.0,7.0,7.0,164.0,1
2451,0.0,3.0,7.0,2,1,3.0,4.0,3,5.0,1,2.0,0.0,11.0,1.0,7.0,197.0,1
2452,11.0,2.0,16.0,4,1,3.0,3.0,3,3.0,1,4.0,0.0,11.0,0.0,2.0,161.0,0
2453,99.0,1.0,7.0,1,1,3.0,4.0,2,5.0,2,2.0,0.0,19.0,1.0,2.0,125.0,1
2454,7.0,3.0,35.0,0,1,2.0,3.0,0,4.0,1,4.0,0.0,12.0,1.0,3.0,193.0,1
2456,16.0,1.0,8.0,0,0,3.0,4.0,0,1.0,1,1.0,0.0,16.0,0.0,9.0,202.0,1
2457,1.0,1.0,8.0,1,1,2.0,3.0,3,4.0,1,5.0,0.0,11.0,1.0,4.0,149.0,1
2458,5.0,1.0,7.0,0,1,3.0,3.0,3,5.0,1,5.0,0.0,14.0,0.0,2.0,141.0,0
2459,21.0,1.0,21.0,4,0,3.0,3.0,2,5.0,1,9.0,0.0,12.0,6.0,6.0,124.0,1
2460,7.0,1.0,13.0,1,0,2.0,3.0,2,1.0,2,2.0,0.0,13.0,0.0,0.0,1944.0,1
2461,28.0,3.0,32.0,3,1,2.0,4.0,1,1.0,1,2.0,0.0,21.0,0.0,13.0,296.0,1
2462,7.0,1.0,7.0,2,1,2.0,3.0,3,1.0,1,10.0,0.0,17.0,0.0,1.0,155.0,1
2463,0.0,1.0,9.0,2,0,2.0,3.0,2,1.0,1,2.0,0.0,21.0,1.0,0.0,121.0,1
2464,11.0,3.0,20.0,2,1,3.0,3.0,3,4.0,1,1.0,0.0,11.0,3.0,7.0,199.0,1
2467,2.0,1.0,9.0,1,1,2.0,3.0,2,5.0,2,2.0,1.0,18.0,0.0,5.0,147.0,1
2469,12.0,3.0,12.0,1,1,2.0,1.0,0,3.0,1,3.0,0.0,11.0,3.0,6.0,182.0,1
2471,23.0,3.0,15.0,3,1,2.0,3.0,1,3.0,1,5.0,1.0,16.0,0.0,0.0,293.0,1
2472,0.0,1.0,16.0,0,1,2.0,1.0,2,3.0,1,3.0,0.0,16.0,0.0,2.0,121.0,1
2473,9.0,1.0,12.0,2,1,3.0,1.0,3,5.0,1,4.0,1.0,13.0,0.0,2.0,156.0,0
2474,15.0,1.0,15.0,4,1,3.0,4.0,1,1.0,2,9.0,0.0,22.0,1.0,1.0,296.0,1
2475,8.0,1.0,34.0,2,1,2.0,1.0,3,3.0,1,129.0,0.0,17.0,6.0,8.0,134.0,1
2477,13.0,3.0,20.0,2,0,2.0,3.0,3,5.0,1,2.0,0.0,15.0,0.0,2.0,146.0,1
2478,16.0,1.0,33.0,0,1,2.0,1.0,2,4.0,1,6.0,0.0,12.0,1.0,2.0,149.0,1
2480,19.0,3.0,7.0,2,1,2.0,1.0,4,5.0,2,2.0,0.0,15.0,0.0,12.0,276.0,1
2481,0.0,1.0,30.0,1,1,2.0,3.0,2,4.0,1,2.0,1.0,17.0,0.0,0.0,124.0,1
2482,0.0,1.0,32.0,4,0,2.0,4.0,2,3.0,1,2.0,1.0,14.0,1.0,3.0,128.0,0
2483,23.0,1.0,26.0,1,1,2.0,3.0,4,3.0,1,3.0,1.0,15.0,0.0,13.0,212.0,0
2486,3.0,1.0,13.0,1,1,2.0,4.0,2,4.0,1,2.0,0.0,12.0,1.0,1.0,121.0,1
2487,18.0,1.0,11.0,1,0,2.0,5.0,3,5.0,2,2.0,1.0,14.0,0.0,4.0,158.0,1
2488,18.0,3.0,32.0,3,1,2.0,4.0,3,5.0,1,2.0,0.0,15.0,3.0,5.0,144.0,0
2489,99.0,3.0,8.0,4,1,2.0,3.0,3,5.0,2,8.0,0.0,13.0,1.0,3.0,153.0,0
2490,9.0,1.0,18.0,2,0,3.0,3.0,3,3.0,1,10.0,1.0,12.0,0.0,1.0,147.0,1
2491,7.0,1.0,16.0,2,1,2.0,1.0,3,1.0,1,2.0,0.0,13.0,3.0,2.0,147.0,0
2492,22.0,1.0,31.0,2,0,2.0,3.0,2,5.0,1,2.0,0.0,14.0,1.0,4.0,132.0,1
2493,12.0,1.0,16.0,1,1,3.0,3.0,3,5.0,1,3.0,0.0,13.0,3.0,7.0,154.0,1
2495,8.0,1.0,24.0,2,1,2.0,1.0,3,5.0,1,2.0,0.0,11.0,1.0,10.0,152.0,1
2496,1.0,1.0,33.0,1,0,2.0,5.0,3,5.0,1,1.0,0.0,21.0,1.0,0.0,149.0,1
2497,0.0,1.0,11.0,1,1,3.0,3.0,2,1.0,2,2.0,0.0,18.0,0.0,2.0,131.0,1
2498,0.0,3.0,9.0,1,0,3.0,3.0,2,1.0,2,2.0,1.0,12.0,1.0,0.0,116.0,0
2499,20.0,2.0,32.0,2,0,3.0,3.0,1,3.0,1,4.0,0.0,11.0,1.0,0.0,297.0,1
2500,12.0,1.0,9.0,1,1,3.0,4.0,3,3.0,1,1.0,0.0,15.0,0.0,7.0,131.0,1
2501,13.0,1.0,21.0,2,0,3.0,4.0,0,3.0,1,2.0,0.0,13.0,6.0,12.0,204.0,1
2502,8.0,1.0,14.0,2,0,2.0,3.0,3,3.0,1,2.0,0.0,12.0,0.0,9.0,141.0,0
2503,10.0,1.0,25.0,2,1,2.0,3.0,3,3.0,1,4.0,0.0,17.0,0.0,2.0,158.0,1
2505,18.0,1.0,8.0,4,0,2.0,4.0,3,1.0,1,2.0,0.0,19.0,3.0,9.0,158.0,1
2507,0.0,3.0,16.0,1,1,2.0,4.0,0,5.0,1,10.0,0.0,17.0,0.0,0.0,203.0,1
2509,13.0,1.0,22.0,2,0,2.0,3.0,0,1.0,2,7.0,1.0,15.0,3.0,3.0,179.0,1
2512,0.0,3.0,21.0,1,1,2.0,5.0,3,1.0,1,7.0,1.0,14.0,0.0,2.0,154.0,1
2513,0.0,1.0,8.0,0,0,2.0,3.0,2,1.0,2,2.0,1.0,13.0,0.0,3.0,138.0,0
2514,0.0,1.0,14.0,1,0,2.0,1.0,2,3.0,1,8.0,0.0,17.0,0.0,2.0,135.0,1
2517,2.0,3.0,16.0,1,1,2.0,4.0,3,3.0,2,10.0,0.0,11.0,1.0,4.0,159.0,1
2518,9.0,1.0,11.0,2,0,2.0,3.0,0,5.0,1,5.0,0.0,12.0,1.0,2.0,180.0,1
2520,12.0,1.0,18.0,1,1,3.0,3.0,3,4.0,1,5.0,0.0,21.0,1.0,0.0,153.0,1
2521,22.0,1.0,28.0,4,0,3.0,3.0,4,4.0,1,4.0,0.0,16.0,1.0,2.0,264.0,1
2522,23.0,1.0,23.0,2,0,2.0,4.0,0,5.0,1,6.0,0.0,15.0,0.0,11.0,233.0,1
2523,0.0,3.0,8.0,1,0,2.0,3.0,2,3.0,2,2.0,0.0,19.0,0.0,2.0,128.0,1
2524,7.0,1.0,9.0,2,0,3.0,3.0,3,4.0,1,2.0,0.0,12.0,1.0,9.0,154.0,1
2525,9.0,1.0,13.0,2,1,3.0,3.0,2,4.0,2,3.0,0.0,11.0,0.0,3.0,120.0,1
2526,22.0,1.0,12.0,2,0,2.0,4.0,4,3.0,1,3.0,1.0,19.0,2.0,12.0,240.0,1
2527,9.0,1.0,7.0,1,0,2.0,4.0,3,3.0,1,1.0,0.0,15.0,0.0,2.0,144.0,0
2528,9.0,1.0,9.0,2,1,3.0,1.0,3,5.0,1,7.0,0.0,20.0,0.0,4.0,168.0,1
2529,27.0,1.0,28.0,1,0,3.0,3.0,4,3.0,1,4.0,0.0,25.0,3.0,7.0,274.0,1
2530,16.0,1.0,21.0,2,1,3.0,4.0,4,3.0,1,2.0,0.0,24.0,2.0,11.0,276.0,1
2531,0.0,3.0,18.0,4,1,2.0,3.0,3,1.0,2,4.0,1.0,24.0,5.0,7.0,146.0,0
2532,11.0,1.0,7.0,2,1,2.0,3.0,3,1.0,1,8.0,0.0,15.0,1.0,9.0,147.0,0
2533,2.0,3.0,11.0,1,1,2.0,4.0,3,4.0,1,2.0,1.0,13.0,0.0,9.0,142.0,1
2534,6.0,3.0,8.0,1,1,3.0,3.0,3,1.0,1,2.0,0.0,14.0,1.0,4.0,155.0,1
2535,5.0,1.0,8.0,1,1,2.0,3.0,3,4.0,1,1.0,0.0,13.0,1.0,6.0,155.0,1
2536,4.0,3.0,11.0,2,0,3.0,3.0,3,1.0,1,2.0,0.0,11.0,0.0,2.0,155.0,1
2537,22.0,1.0,22.0,1,0,3.0,3.0,2,5.0,1,5.0,1.0,16.0,0.0,2.0,126.0,1
2538,11.0,1.0,8.0,1,0,2.0,4.0,2,4.0,2,2.0,0.0,22.0,0.0,3.0,124.0,0
2539,20.0,3.0,8.0,2,0,2.0,1.0,4,4.0,1,7.0,0.0,14.0,1.0,2.0,260.0,1
2541,14.0,3.0,29.0,2,1,3.0,3.0,0,3.0,2,4.0,1.0,16.0,0.0,2.0,171.0,1
2542,0.0,3.0,15.0,2,1,2.0,3.0,2,5.0,2,2.0,0.0,11.0,0.0,2.0,127.0,1
2543,6.0,3.0,22.0,2,0,2.0,3.0,3,1.0,1,2.0,1.0,25.0,0.0,2.0,154.0,0
2544,9.0,1.0,32.0,2,1,3.0,3.0,3,3.0,1,7.0,0.0,14.0,1.0,2.0,153.0,1
2545,17.0,2.0,7.0,2,0,2.0,3.0,2,1.0,1,5.0,1.0,18.0,2.0,2.0,132.0,1
2547,11.0,1.0,10.0,1,0,2.0,3.0,2,3.0,1,8.0,0.0,19.0,0.0,0.0,133.0,1
2548,26.0,1.0,30.0,1,1,2.0,1.0,0,1.0,1,4.0,0.0,15.0,0.0,2.0,170.0,1
2549,11.0,3.0,13.0,1,0,3.0,3.0,2,3.0,1,3.0,1.0,11.0,1.0,7.0,127.0,0
2550,0.0,1.0,8.0,2,1,3.0,3.0,2,4.0,2,2.0,0.0,12.0,0.0,0.0,114.0,1
2551,0.0,1.0,13.0,1,1,3.0,3.0,2,1.0,2,2.0,0.0,20.0,0.0,7.0,126.0,0
2552,28.0,1.0,28.0,0,1,3.0,4.0,2,4.0,1,6.0,0.0,12.0,1.0,2.0,135.0,1
2553,7.0,1.0,11.0,1,1,2.0,4.0,3,1.0,1,2.0,0.0,14.0,0.0,13.0,140.0,1
2555,6.0,1.0,27.0,1,1,3.0,1.0,2,4.0,1,2.0,0.0,18.0,0.0,13.0,120.0,1
2556,10.0,3.0,7.0,1,1,2.0,5.0,3,1.0,1,2.0,0.0,14.0,1.0,3.0,195.0,0
2557,7.0,1.0,25.0,2,0,2.0,4.0,2,1.0,1,2.0,0.0,12.0,1.0,7.0,129.0,1
2559,17.0,1.0,8.0,2,0,3.0,1.0,0,1.0,1,2.0,1.0,19.0,1.0,7.0,179.0,1
2560,8.0,1.0,8.0,1,1,3.0,4.0,2,1.0,2,1.0,1.0,14.0,1.0,4.0,149.0,0
2561,16.0,3.0,8.0,1,1,3.0,3.0,3,1.0,1,2.0,1.0,17.0,3.0,8.0,178.0,1
2562,0.0,1.0,15.0,1,1,3.0,1.0,2,3.0,1,2.0,0.0,16.0,0.0,4.0,144.0,1
2563,14.0,3.0,12.0,3,1,2.0,3.0,0,3.0,2,2.0,0.0,12.0,3.0,7.0,192.0,1
2564,2.0,1.0,15.0,1,0,2.0,3.0,2,3.0,1,10.0,0.0,17.0,0.0,2.0,130.0,1
2566,18.0,1.0,7.0,2,1,3.0,4.0,0,3.0,1,4.0,0.0,23.0,4.0,4.0,207.0,0
2567,0.0,2.0,28.0,4,1,2.0,5.0,2,3.0,1,2.0,0.0,11.0,0.0,0.0,116.0,1
2568,10.0,3.0,15.0,2,1,2.0,5.0,4,3.0,1,8.0,0.0,11.0,6.0,10.0,229.0,0
2571,99.0,1.0,16.0,2,1,2.0,3.0,2,3.0,1,7.0,0.0,13.0,0.0,3.0,134.0,0
2572,4.0,1.0,8.0,2,1,3.0,3.0,2,3.0,1,2.0,0.0,14.0,1.0,3.0,135.0,1
2573,14.0,2.0,10.0,4,1,2.0,5.0,3,4.0,1,7.0,0.0,19.0,0.0,2.0,164.0,0
2575,0.0,1.0,35.0,1,1,3.0,3.0,2,5.0,1,2.0,0.0,13.0,1.0,2.0,139.0,1
2577,8.0,1.0,33.0,2,1,2.0,3.0,3,3.0,1,3.0,0.0,16.0,1.0,7.0,169.0,1
2579,20.0,3.0,8.0,3,1,2.0,3.0,3,4.0,1,8.0,0.0,11.0,0.0,0.0,150.0,0
2580,19.0,3.0,8.0,2,1,3.0,3.0,0,1.0,1,5.0,1.0,12.0,0.0,3.0,204.0,1
2581,0.0,3.0,19.0,3,1,3.0,4.0,3,5.0,1,6.0,1.0,13.0,1.0,2.0,161.0,1
2584,4.0,1.0,30.0,0,0,1.0,3.0,3,1.0,2,3.0,0.0,20.0,0.0,4.0,152.0,0
2585,12.0,1.0,7.0,2,1,3.0,3.0,3,1.0,1,2.0,1.0,15.0,0.0,8.0,165.0,0
2588,99.0,2.0,10.0,2,0,2.0,5.0,0,3.0,1,5.0,0.0,21.0,1.0,3.0,198.0,1
2589,3.0,1.0,8.0,0,0,3.0,4.0,2,5.0,2,1.0,0.0,16.0,0.0,7.0,150.0,0
2590,0.0,2.0,16.0,1,1,2.0,3.0,2,1.0,1,1.0,0.0,14.0,0.0,1.0,121.0,0
2592,4.0,3.0,11.0,0,1,2.0,3.0,3,3.0,1,2.0,0.0,19.0,1.0,2.0,183.0,1
2593,0.0,1.0,14.0,1,0,3.0,3.0,2,1.0,2,2.0,0.0,11.0,0.0,4.0,134.0,1
2594,0.0,3.0,15.0,3,0,2.0,5.0,2,4.0,2,2.0,0.0,13.0,2.0,2.0,128.0,1
2596,3.0,3.0,21.0,3,1,3.0,4.0,0,5.0,1,3.0,0.0,11.0,1.0,7.0,171.0,1
2597,7.0,1.0,8.0,1,1,3.0,1.0,2,1.0,1,1.0,1.0,14.0,1.0,2.0,129.0,1
2598,6.0,3.0,8.0,3,0,3.0,3.0,3,4.0,2,9.0,0.0,15.0,1.0,7.0,151.0,0
2601,11.0,1.0,8.0,1,0,3.0,4.0,2,4.0,1,5.0,0.0,14.0,0.0,5.0,125.0,0
2603,2.0,1.0,10.0,0,0,3.0,4.0,2,5.0,1,2.0,0.0,13.0,0.0,0.0,121.0,1
2604,3.0,1.0,22.0,2,1,2.0,1.0,3,3.0,1,4.0,0.0,16.0,1.0,7.0,153.0,1
2605,5.0,1.0,11.0,0,1,3.0,3.0,2,4.0,2,3.0,0.0,14.0,1.0,7.0,127.0,0
2606,11.0,1.0,24.0,1,1,2.0,5.0,3,1.0,1,4.0,1.0,16.0,0.0,0.0,158.0,1
2608,15.0,1.0,18.0,1,1,2.0,3.0,2,4.0,1,9.0,0.0,22.0,1.0,4.0,128.0,1
2609,28.0,1.0,8.0,1,1,2.0,4.0,1,5.0,1,9.0,0.0,12.0,1.0,0.0,290.0,1
2611,14.0,1.0,15.0,2,1,3.0,3.0,2,5.0,1,2.0,0.0,20.0,0.0,4.0,123.0,1
2612,7.0,3.0,16.0,2,1,2.0,3.0,3,3.0,1,2.0,1.0,14.0,1.0,7.0,140.0,0
2613,26.0,1.0,7.0,1,0,2.0,4.0,4,3.0,1,5.0,1.0,20.0,1.0,2.0,230.0,0
2614,16.0,2.0,8.0,2,1,3.0,3.0,2,1.0,2,1.0,0.0,13.0,1.0,8.0,135.0,1
2616,0.0,3.0,13.0,3,1,2.0,3.0,2,4.0,2,2.0,0.0,13.0,0.0,0.0,127.0,1
2617,11.0,1.0,12.0,4,0,2.0,4.0,2,3.0,1,2.0,0.0,11.0,1.0,4.0,137.0,1
2620,24.0,1.0,9.0,0,0,2.0,3.0,0,3.0,1,3.0,0.0,11.0,2.0,2.0,231.0,1
2621,10.0,3.0,15.0,3,1,2.0,4.0,3,4.0,1,2.0,0.0,14.0,1.0,3.0,142.0,1
2623,9.0,1.0,16.0,2,1,2.0,3.0,0,5.0,1,8.0,1.0,13.0,2.0,7.0,183.0,1
2624,7.0,1.0,7.0,1,1,3.0,3.0,2,4.0,1,2.0,1.0,12.0,2.0,3.0,123.0,0
2625,10.0,2.0,14.0,4,1,2.0,3.0,3,4.0,1,3.0,0.0,13.0,3.0,7.0,141.0,1
2627,6.0,1.0,14.0,2,1,2.0,1.0,2,5.0,1,7.0,0.0,19.0,3.0,6.0,131.0,1
2628,1.0,1.0,7.0,2,1,2.0,3.0,2,1.0,1,2.0,0.0,11.0,0.0,3.0,120.0,1
2629,12.0,1.0,16.0,1,1,3.0,3.0,0,3.0,2,8.0,0.0,21.0,2.0,2.0,235.0,1
2630,19.0,3.0,32.0,2,1,3.0,4.0,3,4.0,2,9.0,0.0,15.0,1.0,2.0,180.0,0
2631,13.0,1.0,8.0,2,0,3.0,3.0,2,5.0,1,5.0,0.0,17.0,1.0,2.0,134.0,1
2632,15.0,1.0,19.0,1,1,3.0,1.0,3,5.0,1,6.0,0.0,18.0,1.0,0.0,155.0,1
2634,11.0,2.0,8.0,4,1,3.0,3.0,2,4.0,1,6.0,0.0,13.0,2.0,8.0,126.0,0
2635,0.0,1.0,15.0,2,1,3.0,3.0,3,5.0,1,5.0,0.0,17.0,0.0,7.0,153.0,0
2637,12.0,3.0,26.0,2,1,2.0,3.0,3,1.0,1,3.0,0.0,18.0,1.0,2.0,141.0,0
2638,16.0,1.0,15.0,2,1,2.0,3.0,2,3.0,2,5.0,0.0,13.0,1.0,2.0,124.0,0
2639,14.0,1.0,11.0,2,1,2.0,1.0,3,4.0,2,4.0,0.0,12.0,0.0,2.0,169.0,1
2642,0.0,2.0,26.0,1,0,3.0,3.0,2,4.0,1,1.0,1.0,11.0,0.0,4.0,121.0,1
2647,8.0,1.0,29.0,1,1,3.0,5.0,2,3.0,1,1.0,0.0,16.0,0.0,3.0,127.0,1
2648,20.0,1.0,10.0,2,0,3.0,4.0,0,4.0,1,9.0,1.0,12.0,5.0,10.0,203.0,1
2649,13.0,1.0,18.0,2,0,2.0,3.0,3,5.0,1,3.0,0.0,12.0,1.0,7.0,144.0,1
2650,27.0,1.0,13.0,1,0,3.0,3.0,3,1.0,1,5.0,0.0,15.0,1.0,7.0,169.0,1
2652,1.0,1.0,7.0,1,0,3.0,3.0,2,5.0,1,2.0,0.0,25.0,1.0,2.0,136.0,1
2654,0.0,3.0,16.0,1,1,2.0,3.0,3,1.0,2,140.0,0.0,13.0,1.0,2.0,147.0,1
2655,30.0,1.0,21.0,2,1,2.0,3.0,4,3.0,1,3.0,1.0,14.0,2.0,2.0,258.0,0
2656,0.0,1.0,20.0,1,0,2.0,3.0,2,3.0,2,2.0,0.0,16.0,1.0,0.0,115.0,0
2657,0.0,2.0,24.0,4,1,2.0,1.0,2,5.0,1,1.0,0.0,17.0,1.0,0.0,130.0,1
2658,0.0,2.0,19.0,4,1,2.0,4.0,2,5.0,1,5.0,1.0,15.0,2.0,0.0,123.0,1
2659,18.0,3.0,8.0,2,0,3.0,3.0,3,3.0,1,5.0,0.0,22.0,3.0,7.0,152.0,0
2660,9.0,1.0,8.0,4,0,3.0,3.0,3,4.0,1,5.0,1.0,22.0,1.0,0.0,170.0,1
2661,16.0,3.0,8.0,2,1,3.0,3.0,3,1.0,1,2.0,0.0,20.0,7.0,7.0,157.0,0
2662,0.0,1.0,11.0,2,0,2.0,3.0,2,1.0,2,1.0,1.0,14.0,1.0,2.0,124.0,0
2663,2.0,1.0,26.0,1,0,2.0,3.0,2,1.0,1,2.0,0.0,13.0,1.0,10.0,1921.0,0
2664,5.0,3.0,16.0,3,1,3.0,3.0,3,1.0,2,9.0,0.0,13.0,0.0,0.0,146.0,0
2667,19.0,1.0,8.0,2,1,2.0,3.0,0,1.0,1,4.0,0.0,14.0,0.0,7.0,186.0,1
2668,1.0,2.0,7.0,2,1,2.0,3.0,2,1.0,1,2.0,0.0,15.0,1.0,2.0,127.0,0
2670,15.0,1.0,14.0,2,1,2.0,3.0,2,3.0,2,5.0,0.0,13.0,1.0,0.0,140.0,1
2671,0.0,3.0,8.0,3,1,2.0,4.0,3,4.0,2,8.0,1.0,12.0,1.0,2.0,199.0,1
2673,0.0,3.0,29.0,1,0,2.0,4.0,3,3.0,1,2.0,0.0,21.0,3.0,8.0,135.0,1
2675,16.0,1.0,12.0,1,0,2.0,4.0,1,3.0,1,8.0,0.0,13.0,6.0,14.0,294.0,1
2676,21.0,1.0,16.0,2,1,3.0,4.0,1,4.0,1,5.0,0.0,12.0,3.0,9.0,297.0,1
2677,0.0,1.0,30.0,2,1,3.0,4.0,2,1.0,2,2.0,1.0,24.0,1.0,0.0,124.0,0
2678,9.0,3.0,16.0,2,0,3.0,3.0,0,4.0,1,6.0,0.0,21.0,1.0,7.0,173.0,1
2679,0.0,1.0,21.0,2,0,3.0,4.0,2,5.0,1,1.0,0.0,19.0,0.0,3.0,148.0,0
2681,28.0,1.0,8.0,0,1,3.0,4.0,2,1.0,1,9.0,0.0,20.0,1.0,4.0,127.0,1
2682,1.0,3.0,9.0,1,0,3.0,3.0,2,4.0,1,2.0,0.0,19.0,1.0,0.0,129.0,1
2684,0.0,1.0,13.0,2,1,3.0,3.0,2,4.0,2,2.0,1.0,23.0,1.0,0.0,125.0,1
2685,9.0,3.0,16.0,0,0,3.0,4.0,3,3.0,1,2.0,1.0,13.0,0.0,7.0,157.0,1
2687,7.0,3.0,10.0,2,1,3.0,3.0,0,1.0,1,3.0,1.0,13.0,0.0,0.0,197.0,1
2688,2.0,1.0,13.0,2,1,2.0,3.0,2,5.0,2,4.0,0.0,14.0,0.0,2.0,121.0,1
2690,8.0,1.0,22.0,4,0,2.0,4.0,3,4.0,1,1.0,1.0,11.0,0.0,2.0,148.0,1
2691,18.0,1.0,31.0,2,0,3.0,4.0,3,1.0,1,126.0,0.0,13.0,0.0,8.0,159.0,1
2692,9.0,2.0,8.0,4,1,3.0,4.0,3,1.0,2,2.0,0.0,21.0,1.0,8.0,139.0,0
